PatchID,Abundance_2012,Longitude,Latitude,Host plant m2,Sh,road_PA,Plant_dryness,Habitat boundary_open,Patch shadow,Rainfall_July,Rainfall_August
29,2,3098327.92276097,6704645.54805266,,167.026523806581,1,,1,1,48.0058288188174,44.3646057865952
32,3,3098355.06536789,6704423.98998658,20,171.511134196402,0,15,1,1,48.0058288188174,44.3646057865952
41,4,3096879.53189515,6705474.69623113,1001,140.734475688964,1,10,1,1,53.7486906871482,66.1828625508268
158,3,3108300.77673875,6703380.62127912,20,230.766931792807,0,20,1,1,47.4344688926148,60.7615494170453
159,1,3118235.73655917,6710268.60346731,20,132.498928517878,1,3,1,2,44.5565389559473,54.8191451588717
54,3,3096713.67925728,6705280.19313539,40,151.179084039642,0,5,1,1,45.4700515096393,49.1042341139946
74,3,3101217.81706263,6717215.08755085,10,77.9799617897085,1,0,1,1,36.5693374342104,45.1380683887808
75,3,3102782.04188292,6716693.48062213,,99.4685343402814,0,,1,2,35.0475340798026,38.4292968247266
77,3,3102540.58819129,6713074.36970749,5,136.569692021608,0,10,1,2,37.7432960260536,45.0477234486108
79,3,3103040.57144251,6713183.27435177,30,135.347863638972,0,0,1,1,38.0728866447677,43.7273918521971
80,2,3103349.51320541,6717093.43268114,80,97.9840723213391,1,2,1,1,29.647719956644,43.260526390893
81,3,3103084.94798287,6717172.82603154,15,96.4477513215089,1,2,1,1,30.1336903730016,44.7397603922932
83,2,3103546.00303001,6717071.82190046,5,100.877495111259,1,5,1,2,29.647719956644,43.260526390893
90,3,3105466.60070777,6714557.55289003,15,155.343746016718,0,0,1,2,34.9486194361772,37.8953498520834
99,1,3108271.06131914,6716110.73467594,1,154.660457942986,0,0,1,2,39.0454360084954,48.8026269875711
104,2,3108183.44118893,6716569.94235786,1,145.631486217573,0,0,1,1,34.3687009642288,47.3381199252577
110,2,3108243.09380891,6717611.33655867,8,115.624842577008,1,0,1,1,39.3517408593679,44.9197189123136
119,3,3114977.95248389,6710806.72540166,15,149.23905556508,0,15,1,1,35.4961300942258,56.4505680847606
127,4,3112626.33425954,6706887.04591685,35,174.780115195891,0,10,1,1,41.3877671201756,58.3598956250142
133,2,3108153.26893038,6706501.71650945,100,231.877928623796,0,10,1,1,35.9590454376877,59.4906106282131
136,3,3110201.57048536,6701141.93947742,,187.32755355023,0,,1,1,65.0988040560856,51.4929836826114
147,1,3110147.70066584,6702852.07000098,2,224.380193284971,0,7,1,1,49.5544415663789,50.6781070436928
148,1,3110480.72323529,6703242.98283059,2,220.393898477283,0,8,1,1,49.5544415663789,50.6781070436928
175,2,3115248.77436792,6704719.09539869,4,208.667140031562,0,5,1,1,47.3665632090519,37.1251334313116
187,2,3117383.64554923,6705323.28728692,13,251.011815692414,1,5,1,2,39.3248761757459,41.448627741597
271,2,3124225.2323723,6698043.03645752,,336.594687927509,1,,1,1,48.6657295099769,68.4352719687487
211,2,3117727.63200686,6701103.73579531,5,257.77890192002,0,3,1,1,49.0457974115738,33.1410732697959
219,3,3119110.11065079,6698748.69600802,15,250.271037759639,1,2,1,2,43.4680162301745,39.6777371306862
224,1,3119842.97118794,6698223.35865508,4,247.809041029808,1,5,1,1,64.0942814845254,43.3855510044425
228,2,3121896.98558172,6698521.30130482,20,361.996937800467,1,5,1,1,55.4857728231912,58.8543700226484
231,1,3121531.62834188,6698820.97886602,7,342.993429129326,1,1,1,2,61.7661049187274,49.8300727299346
244,2,3122822.61483742,6700211.56073814,3,370.380597754875,0,3,1,1,51.0984608090502,54.3116954059933
251,2,3122455.10353171,6698256.68757215,8,382.264166242257,0,4,1,1,53.9549601205755,56.476409189952
265,2,3123080.9429281,6697961.18328684,20,371.139631057485,0,5,1,2,57.1632775775928,59.6153361478192
290,1,3133825.66381211,6697615.96968091,5,112.404554473915,0,3,1,1,36.7074330178986,44.6622269694885
292,1,3133491.97994358,6701975.41679993,15,99.6221449442923,0,2,1,1,37.5051526360889,48.9394736564427
293,2,3102992.15749218,6693097.53473075,7,128.622646122823,1,10,1,2,37.9516358061302,59.4346959855996
294,4,3095826.81308869,6693820.6516748,20,44.7029889059155,0,20,1,1,35.7252184689773,36.6209137073345
282,3,3125834.62162327,6697291.73118266,200,230.335352850653,1,0,1,1,48.8743790398426,51.5402360287928
285,2,3127143.53099799,6697231.77827192,6,173.814785603566,0,10,1,2,39.5295202434872,43.2119039952606
338,2,3109228.46335251,6680126.3741681,17,82.4430196931889,0,1,1,1,29.4702972596953,40.6896338780075
339,3,3109097.01628822,6680190.70814982,20,78.7435478170295,1,1,1,1,29.4702972596953,40.6896338780075
341,2,3108754.30650758,6697671.36386855,50,204.574722907641,0,5,1,1,53.9463416306458,56.0480252027263
299,2,3117837.29855076,6701000.61650607,13,258.103325632799,0,1,1,1,49.0457974115738,33.1410732697959
304,2,3099702.67834015,6688285.55851932,11,72.296601002987,1,1,1,1,34.8780273111467,55.4289298081276
309,2,3098149.5797385,6687293.04785516,1,53.5902721944048,1,2,1,1,30.1665265848502,49.2934788027038
310,3,3098662.82812985,6688845.56375425,30,58.9050046498172,1,4,1,2,35.9681552961741,48.6770797410797
317,2,3109186.11292651,6676256.17241004,4,45.1253007506166,1,2,1,2,22.628871603297,36.2302788114813
318,2,3109545.94074927,6676146.43467216,5,45.9608949410132,0,7,1,2,31.6702060635288,33.1114599544542
320,3,3110620.5412356,6676500.05689366,5,48.2457931793685,1,0,1,1,23.5605086935787,37.8602907197177
321,2,3110478.90614395,6677705.60350049,2,59.7234605284531,1,1,1,2,27.2693941893427,38.9853428546668
322,2,3110616.29120782,6677734.65871422,1,59.9558385033176,1,0,1,2,27.2693941893427,38.9853428546668
325,2,3110391.68782959,6677387.28870665,,59.4688621984006,1,,1,1,23.5605086935787,37.8602907197177
327,2,3109992.05391694,6677655.47371747,3,61.269151977926,0,2,1,2,26.3206702071141,39.0753494477648
330,3,3108963.8513229,6676878.59801147,9,47.9321362511816,1,0,1,1,22.628871603297,36.2302788114813
331,1,3109192.12740899,6677529.42514541,1,58.0412698047082,1,4,1,2,22.628871603297,36.2302788114813
332,2,3109425.99918548,6677540.13505471,6,57.6313545176813,1,12,1,2,31.6702060635288,33.1114599544542
